image,mask
segmentation_data/train/69915dab0755_11.jpg,segmentation_data/train_masks/69915dab0755_11_mask.gif
segmentation_data/train/61060ada97c9_03.jpg,segmentation_data/train_masks/61060ada97c9_03_mask.gif
segmentation_data/train/a7b9e343cf6b_08.jpg,segmentation_data/train_masks/a7b9e343cf6b_08_mask.gif
segmentation_data/train/78bfb9c780db_06.jpg,segmentation_data/train_masks/78bfb9c780db_06_mask.gif
segmentation_data/train/fdc2c87853ce_04.jpg,segmentation_data/train_masks/fdc2c87853ce_04_mask.gif
segmentation_data/train/843763f47895_03.jpg,segmentation_data/train_masks/843763f47895_03_mask.gif
segmentation_data/train/f98dbe8a5ee2_12.jpg,segmentation_data/train_masks/f98dbe8a5ee2_12_mask.gif
segmentation_data/train/c4ac16c0dd59_11.jpg,segmentation_data/train_masks/c4ac16c0dd59_11_mask.gif
segmentation_data/train/efaef69e148d_12.jpg,segmentation_data/train_masks/efaef69e148d_12_mask.gif
segmentation_data/train/c52b272a5329_01.jpg,segmentation_data/train_masks/c52b272a5329_01_mask.gif
segmentation_data/train/c4ac16c0dd59_06.jpg,segmentation_data/train_masks/c4ac16c0dd59_06_mask.gif
segmentation_data/train/04bd942b463b_06.jpg,segmentation_data/train_masks/04bd942b463b_06_mask.gif
segmentation_data/train/d46244bc42ed_15.jpg,segmentation_data/train_masks/d46244bc42ed_15_mask.gif
segmentation_data/train/4f1f065d78ac_02.jpg,segmentation_data/train_masks/4f1f065d78ac_02_mask.gif
segmentation_data/train/31186febd775_11.jpg,segmentation_data/train_masks/31186febd775_11_mask.gif
segmentation_data/train/6f6dced498c4_07.jpg,segmentation_data/train_masks/6f6dced498c4_07_mask.gif
segmentation_data/train/e2230d0ceb02_13.jpg,segmentation_data/train_masks/e2230d0ceb02_13_mask.gif
segmentation_data/train/4f1f065d78ac_13.jpg,segmentation_data/train_masks/4f1f065d78ac_13_mask.gif
segmentation_data/train/13cad6eeabe8_04.jpg,segmentation_data/train_masks/13cad6eeabe8_04_mask.gif
segmentation_data/train/c7a94c46a3b2_15.jpg,segmentation_data/train_masks/c7a94c46a3b2_15_mask.gif
segmentation_data/train/c3614abc7405_05.jpg,segmentation_data/train_masks/c3614abc7405_05_mask.gif
segmentation_data/train/78f63d808555_09.jpg,segmentation_data/train_masks/78f63d808555_09_mask.gif
segmentation_data/train/68fcee2be01f_16.jpg,segmentation_data/train_masks/68fcee2be01f_16_mask.gif
segmentation_data/train/28d9a149cb02_09.jpg,segmentation_data/train_masks/28d9a149cb02_09_mask.gif
segmentation_data/train/351c583eabd6_07.jpg,segmentation_data/train_masks/351c583eabd6_07_mask.gif
segmentation_data/train/0de66245f268_14.jpg,segmentation_data/train_masks/0de66245f268_14_mask.gif
segmentation_data/train/7bd1142155ae_12.jpg,segmentation_data/train_masks/7bd1142155ae_12_mask.gif
segmentation_data/train/898339fab87a_05.jpg,segmentation_data/train_masks/898339fab87a_05_mask.gif
segmentation_data/train/cf65b1c5e147_12.jpg,segmentation_data/train_masks/cf65b1c5e147_12_mask.gif
segmentation_data/train/c353e364e931_06.jpg,segmentation_data/train_masks/c353e364e931_06_mask.gif
segmentation_data/train/3afec4b5ac07_09.jpg,segmentation_data/train_masks/3afec4b5ac07_09_mask.gif
segmentation_data/train/2990f858e939_16.jpg,segmentation_data/train_masks/2990f858e939_16_mask.gif
segmentation_data/train/6a951d3a3131_03.jpg,segmentation_data/train_masks/6a951d3a3131_03_mask.gif
segmentation_data/train/a070dbb32d2b_05.jpg,segmentation_data/train_masks/a070dbb32d2b_05_mask.gif
segmentation_data/train/cf5add31c130_05.jpg,segmentation_data/train_masks/cf5add31c130_05_mask.gif
segmentation_data/train/0d3adbbc9a8b_02.jpg,segmentation_data/train_masks/0d3adbbc9a8b_02_mask.gif
segmentation_data/train/31186febd775_03.jpg,segmentation_data/train_masks/31186febd775_03_mask.gif
segmentation_data/train/f3b482e091c0_10.jpg,segmentation_data/train_masks/f3b482e091c0_10_mask.gif
segmentation_data/train/4a4364d7fc6d_14.jpg,segmentation_data/train_masks/4a4364d7fc6d_14_mask.gif
segmentation_data/train/880ab8468df2_16.jpg,segmentation_data/train_masks/880ab8468df2_16_mask.gif
segmentation_data/train/4f0397cf7937_08.jpg,segmentation_data/train_masks/4f0397cf7937_08_mask.gif
segmentation_data/train/c24b8293eceb_02.jpg,segmentation_data/train_masks/c24b8293eceb_02_mask.gif
segmentation_data/train/791c1a9775be_08.jpg,segmentation_data/train_masks/791c1a9775be_08_mask.gif
segmentation_data/train/3627b6f4c16d_14.jpg,segmentation_data/train_masks/3627b6f4c16d_14_mask.gif
segmentation_data/train/bb2f95262773_16.jpg,segmentation_data/train_masks/bb2f95262773_16_mask.gif
segmentation_data/train/c87688f6960e_07.jpg,segmentation_data/train_masks/c87688f6960e_07_mask.gif
segmentation_data/train/9cc257b449d0_15.jpg,segmentation_data/train_masks/9cc257b449d0_15_mask.gif
segmentation_data/train/5df60cf7cab2_16.jpg,segmentation_data/train_masks/5df60cf7cab2_16_mask.gif
segmentation_data/train/fd9da5d0bb6f_15.jpg,segmentation_data/train_masks/fd9da5d0bb6f_15_mask.gif
segmentation_data/train/c3614abc7405_08.jpg,segmentation_data/train_masks/c3614abc7405_08_mask.gif
segmentation_data/train/4e308ad8a254_09.jpg,segmentation_data/train_masks/4e308ad8a254_09_mask.gif
segmentation_data/train/c52b272a5329_11.jpg,segmentation_data/train_masks/c52b272a5329_11_mask.gif
segmentation_data/train/f1eb080c7182_08.jpg,segmentation_data/train_masks/f1eb080c7182_08_mask.gif
segmentation_data/train/2a4a8964ebf3_07.jpg,segmentation_data/train_masks/2a4a8964ebf3_07_mask.gif
segmentation_data/train/bf92e198d9b6_13.jpg,segmentation_data/train_masks/bf92e198d9b6_13_mask.gif
segmentation_data/train/d0dab700c896_08.jpg,segmentation_data/train_masks/d0dab700c896_08_mask.gif
segmentation_data/train/68fcee2be01f_06.jpg,segmentation_data/train_masks/68fcee2be01f_06_mask.gif
segmentation_data/train/0de66245f268_12.jpg,segmentation_data/train_masks/0de66245f268_12_mask.gif
segmentation_data/train/66fea07e1152_06.jpg,segmentation_data/train_masks/66fea07e1152_06_mask.gif
segmentation_data/train/293a0fa72e5b_11.jpg,segmentation_data/train_masks/293a0fa72e5b_11_mask.gif
segmentation_data/train/c6f50d44f141_16.jpg,segmentation_data/train_masks/c6f50d44f141_16_mask.gif
segmentation_data/train/03a857ce842d_12.jpg,segmentation_data/train_masks/03a857ce842d_12_mask.gif
segmentation_data/train/0de66245f268_03.jpg,segmentation_data/train_masks/0de66245f268_03_mask.gif
segmentation_data/train/9a2bfb24ba6e_16.jpg,segmentation_data/train_masks/9a2bfb24ba6e_16_mask.gif
segmentation_data/train/125cadcb9feb_03.jpg,segmentation_data/train_masks/125cadcb9feb_03_mask.gif
segmentation_data/train/bf92e198d9b6_12.jpg,segmentation_data/train_masks/bf92e198d9b6_12_mask.gif
segmentation_data/train/3b45f83ba3fa_16.jpg,segmentation_data/train_masks/3b45f83ba3fa_16_mask.gif
segmentation_data/train/2c57132da7a0_14.jpg,segmentation_data/train_masks/2c57132da7a0_14_mask.gif
segmentation_data/train/e597d76a0c33_11.jpg,segmentation_data/train_masks/e597d76a0c33_11_mask.gif
segmentation_data/train/125cadcb9feb_16.jpg,segmentation_data/train_masks/125cadcb9feb_16_mask.gif
segmentation_data/train/843763f47895_13.jpg,segmentation_data/train_masks/843763f47895_13_mask.gif
segmentation_data/train/c502287be9f6_07.jpg,segmentation_data/train_masks/c502287be9f6_07_mask.gif
segmentation_data/train/4a4364d7fc6d_11.jpg,segmentation_data/train_masks/4a4364d7fc6d_11_mask.gif
segmentation_data/train/0cdf5b5d0ce1_08.jpg,segmentation_data/train_masks/0cdf5b5d0ce1_08_mask.gif
segmentation_data/train/dd70a0a51e3b_12.jpg,segmentation_data/train_masks/dd70a0a51e3b_12_mask.gif
segmentation_data/train/03a857ce842d_16.jpg,segmentation_data/train_masks/03a857ce842d_16_mask.gif
segmentation_data/train/ef5567efd904_05.jpg,segmentation_data/train_masks/ef5567efd904_05_mask.gif
segmentation_data/train/42a3297ccd4b_11.jpg,segmentation_data/train_masks/42a3297ccd4b_11_mask.gif
segmentation_data/train/64f701f36437_06.jpg,segmentation_data/train_masks/64f701f36437_06_mask.gif
segmentation_data/train/fa006be8b6d9_06.jpg,segmentation_data/train_masks/fa006be8b6d9_06_mask.gif
segmentation_data/train/878738468f6b_12.jpg,segmentation_data/train_masks/878738468f6b_12_mask.gif
segmentation_data/train/34b0c08544a5_08.jpg,segmentation_data/train_masks/34b0c08544a5_08_mask.gif
segmentation_data/train/fa006be8b6d9_13.jpg,segmentation_data/train_masks/fa006be8b6d9_13_mask.gif
segmentation_data/train/0495dcf27283_14.jpg,segmentation_data/train_masks/0495dcf27283_14_mask.gif
segmentation_data/train/371f057d1242_10.jpg,segmentation_data/train_masks/371f057d1242_10_mask.gif
segmentation_data/train/917f262f1608_11.jpg,segmentation_data/train_masks/917f262f1608_11_mask.gif
segmentation_data/train/0789bed99cb8_16.jpg,segmentation_data/train_masks/0789bed99cb8_16_mask.gif
segmentation_data/train/189a2a32a615_15.jpg,segmentation_data/train_masks/189a2a32a615_15_mask.gif
segmentation_data/train/51f1cdf5f539_06.jpg,segmentation_data/train_masks/51f1cdf5f539_06_mask.gif
segmentation_data/train/7ab9747cf6d7_04.jpg,segmentation_data/train_masks/7ab9747cf6d7_04_mask.gif
segmentation_data/train/4e7bc95552ed_03.jpg,segmentation_data/train_masks/4e7bc95552ed_03_mask.gif
segmentation_data/train/21a7e6726ee3_14.jpg,segmentation_data/train_masks/21a7e6726ee3_14_mask.gif
segmentation_data/train/eeb7eeca738e_06.jpg,segmentation_data/train_masks/eeb7eeca738e_06_mask.gif
segmentation_data/train/364fd5fd7569_07.jpg,segmentation_data/train_masks/364fd5fd7569_07_mask.gif
segmentation_data/train/eb91b1c659a0_09.jpg,segmentation_data/train_masks/eb91b1c659a0_09_mask.gif
segmentation_data/train/ef5567efd904_09.jpg,segmentation_data/train_masks/ef5567efd904_09_mask.gif
segmentation_data/train/120c1dc7b116_03.jpg,segmentation_data/train_masks/120c1dc7b116_03_mask.gif
segmentation_data/train/630335e37f40_14.jpg,segmentation_data/train_masks/630335e37f40_14_mask.gif
segmentation_data/train/6bf969856536_12.jpg,segmentation_data/train_masks/6bf969856536_12_mask.gif
segmentation_data/train/364fd5fd7569_14.jpg,segmentation_data/train_masks/364fd5fd7569_14_mask.gif
segmentation_data/train/768f299c36e1_16.jpg,segmentation_data/train_masks/768f299c36e1_16_mask.gif
segmentation_data/train/c24b8293eceb_04.jpg,segmentation_data/train_masks/c24b8293eceb_04_mask.gif
segmentation_data/train/6d21aad248e4_11.jpg,segmentation_data/train_masks/6d21aad248e4_11_mask.gif
segmentation_data/train/3f8d611822bc_10.jpg,segmentation_data/train_masks/3f8d611822bc_10_mask.gif
segmentation_data/train/553c658b9efa_07.jpg,segmentation_data/train_masks/553c658b9efa_07_mask.gif
segmentation_data/train/293a0fa72e5b_12.jpg,segmentation_data/train_masks/293a0fa72e5b_12_mask.gif
segmentation_data/train/11f3dc041cfb_04.jpg,segmentation_data/train_masks/11f3dc041cfb_04_mask.gif
segmentation_data/train/293a0fa72e5b_04.jpg,segmentation_data/train_masks/293a0fa72e5b_04_mask.gif
segmentation_data/train/bd8d5780ed04_03.jpg,segmentation_data/train_masks/bd8d5780ed04_03_mask.gif
segmentation_data/train/1adaeb44f109_06.jpg,segmentation_data/train_masks/1adaeb44f109_06_mask.gif
segmentation_data/train/a070dbb32d2b_11.jpg,segmentation_data/train_masks/a070dbb32d2b_11_mask.gif
segmentation_data/train/2267f4aa0d2c_15.jpg,segmentation_data/train_masks/2267f4aa0d2c_15_mask.gif
segmentation_data/train/dd47eb7ac4ee_05.jpg,segmentation_data/train_masks/dd47eb7ac4ee_05_mask.gif
segmentation_data/train/4e7bc95552ed_09.jpg,segmentation_data/train_masks/4e7bc95552ed_09_mask.gif
segmentation_data/train/795d2ee07ce2_10.jpg,segmentation_data/train_masks/795d2ee07ce2_10_mask.gif
segmentation_data/train/4baf50a3d8c2_03.jpg,segmentation_data/train_masks/4baf50a3d8c2_03_mask.gif
